,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
85,Tyler Herro,3w1WjD2zJqjBjDz5fwqQPJ,156578,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ,0.792,0.793,5,-6.185,0.0841,0.0872,0.0,0.22,0.775,123.031
86,The Other Side,5FljCWR0cys07PQ9277GTz,226986,https://open.spotify.com/track/5FljCWR0cys07PQ9277GTz,0.561,0.836,9,-3.939,0.1,0.0525,0.0,0.136,0.517,127.923
87,地球儀,6NffEVuGbmTvIpfSS93aMU,232786,https://open.spotify.com/track/6NffEVuGbmTvIpfSS93aMU,0.678,0.837,1,-5.367,0.0425,0.0129,4.2e-05,0.0711,0.916,100.058
88,Eighties,4FtZXSr2f2ztG5y69d3cNm,106378,https://open.spotify.com/track/4FtZXSr2f2ztG5y69d3cNm,0.495,0.79,4,-3.116,0.221,0.0163,0.0,0.52,0.623,184.742
89,19,24ovEYWV3PjlLOSsmNEWQv,243813,https://open.spotify.com/track/24ovEYWV3PjlLOSsmNEWQv,0.688,0.782,4,-5.419,0.0279,0.244,0.0,0.632,0.659,100.024
90,Miss You a Little (feat. lovelytheband),2tijppLc0gaWA2AfPDANvq,168180,https://open.spotify.com/track/2tijppLc0gaWA2AfPDANvq,0.636,0.886,0,-4.76,0.0433,0.347,0.0,0.171,0.589,140.888
91,is it you,0hGRIPiiHZKFSXvvUqeXSX,171226,https://open.spotify.com/track/0hGRIPiiHZKFSXvvUqeXSX,0.428,0.715,7,-5.899,0.0573,0.514,0.0,0.12,0.185,80.907
92,Don’t Trip (with GAYLE),6mWCikZXHCCnEwkwyJ2L8G,147183,https://open.spotify.com/track/6mWCikZXHCCnEwkwyJ2L8G,0.522,0.743,10,-4.892,0.0741,0.00946,0.0,0.302,0.524,159.898
93,Down & Out,7wIcRhedBpZGpLf9PGKUEh,173250,https://open.spotify.com/track/7wIcRhedBpZGpLf9PGKUEh,0.629,0.649,11,-7.469,0.0314,0.0601,0.0,0.128,0.443,150.044
94,blue,3A9RV7frnaeqKGvF7kb0vd,126316,https://open.spotify.com/track/3A9RV7frnaeqKGvF7kb0vd,0.78,0.438,8,-9.318,0.132,0.175,0.0,0.163,0.795,176.189
95,Costa Rica (feat. The Kid LAROI) - Remix,3tdjTdCCgKtwacsICCtPZZ,114865,https://open.spotify.com/track/3tdjTdCCgKtwacsICCtPZZ,0.89,0.53,9,-9.891,0.362,0.165,0.0,0.106,0.644,127.889
